,state,year,Severity,totalsevere,Area,sev_area
1,Alabama,2016,Severe,3967,50708,0.078232232
2,Alabama,2017,Severe,5525,50708,0.108957167
3,Alabama,2018,Severe,4558,50708,0.089887197
4,Alabama,2019,Severe,5089,50708,0.100358918
5,Alabama,2020,Severe,6658,50708,0.131300781
6,Alabama,2021,Severe,8409,50708,0.165831821
7,Arizona,2016,Severe,987,113417,0.008702399
8,Arizona,2017,Severe,854,113417,0.007529735
9,Arizona,2018,Severe,1031,113417,0.009090348
10,Arizona,2019,Severe,1284,113417,0.011321054
11,Arizona,2020,Severe,1744,113417,0.015376884
12,Arizona,2021,Severe,2005,113417,0.017678126
13,Arkansas,2016,Severe,3810,51945,0.073346809
14,Arkansas,2017,Severe,3381,51945,0.065088074
15,Arkansas,2018,Severe,3661,51945,0.070478391
16,Arkansas,2019,Severe,5677,51945,0.109288671
17,Arkansas,2020,Severe,5898,51945,0.113543171
18,Arkansas,2021,Severe,5966,51945,0.114852248
19,California,2016,Severe,12238,156361,0.078267599
20,California,2017,Severe,10544,156361,0.067433695
21,California,2018,Severe,11328,156361,0.072447733
22,California,2019,Severe,15512,156361,0.099206324
23,California,2020,Severe,19043,156361,0.121788681
24,California,2021,Severe,20494,156361,0.131068489
25,Colorado,2016,Severe,5738,103766,0.055297496
26,Colorado,2017,Severe,6200,103766,0.059749822
27,Colorado,2018,Severe,5539,103766,0.05337972
28,Colorado,2019,Severe,5807,103766,0.055962454
29,Colorado,2020,Severe,3681,103766,0.035474047
30,Colorado,2021,Severe,3871,103766,0.03730509
31,Connecticut,2016,Severe,733,4862,0.150761004
32,Connecticut,2017,Severe,896,4862,0.184286302
33,Connecticut,2018,Severe,1130,4862,0.232414644
34,Connecticut,2019,Severe,1637,4862,0.336692719
35,Connecticut,2020,Severe,2332,4862,0.479638009
36,Connecticut,2021,Severe,2283,4862,0.469559852
37,Delaware,2016,Severe,191,1982,0.096367306
38,Delaware,2017,Severe,197,1982,0.099394551
39,Delaware,2018,Severe,241,1982,0.121594349
40,Delaware,2019,Severe,333,1982,0.168012109
41,Delaware,2020,Severe,449,1982,0.22653885
42,Delaware,2021,Severe,284,1982,0.143289606
43,Florida,2016,Severe,7902,54090,0.14608985
44,Florida,2017,Severe,8960,54090,0.165649843
45,Florida,2018,Severe,7698,54090,0.142318358
46,Florida,2019,Severe,9936,54090,0.183693844
47,Florida,2020,Severe,8926,54090,0.165021261
48,Florida,2021,Severe,11658,54090,0.215529673
49,Georgia,2016,Severe,5811,58073,0.100063713
50,Georgia,2017,Severe,8002,58073,0.137792089
51,Georgia,2018,Severe,7031,58073,0.121071755
52,Georgia,2019,Severe,8720,58073,0.150155838
53,Georgia,2020,Severe,11408,58073,0.196442409
54,Georgia,2021,Severe,12920,58073,0.222478605
55,Idaho,2016,Severe,3118,82677,0.037713028
56,Idaho,2017,Severe,3133,82677,0.037894457
57,Idaho,2018,Severe,2410,82677,0.029149582
58,Idaho,2019,Severe,2829,82677,0.034217497
59,Idaho,2020,Severe,2925,82677,0.035378642
60,Idaho,2021,Severe,2629,82677,0.031798445
61,Illinois,2016,Severe,5835,55748,0.104667432
