"","state","year","totalprecip","Area","preciparea"
"1","Alabama",2016,3115.76,50708,0.0614451368620336
"2","Alabama",2017,4177.86,50708,0.0823905498146249
"3","Alabama",2018,3912.48,50708,0.0771570560858247
"4","Alabama",2019,3608.45,50708,0.0711613552102233
"5","Alabama",2020,4229.7,50708,0.0834128737082906
"6","Alabama",2021,4200.09,50708,0.0828289421787489
"7","Arizona",2016,1118.57,113417,0.00986245448213231
"8","Arizona",2017,531.17,113417,0.00468333671319114
"9","Arizona",2018,536.22,113417,0.00472786266609062
"10","Arizona",2019,451.01,113417,0.00397656435984024
"11","Arizona",2020,204.26,113417,0.00180096458202915
"12","Arizona",2021,492.02,113417,0.00433815036546549
"13","Arkansas",2016,9124.29,51945,0.175652902107999
"14","Arkansas",2017,2751.58,51945,0.0529710270478391
"15","Arkansas",2018,3409.64,51945,0.0656394263162961
"16","Arkansas",2019,3797.28,51945,0.0731019347386659
"17","Arkansas",2020,3351.14,51945,0.0645132351525652
"18","Arkansas",2021,2899.16,51945,0.0558121089614015
"19","California",2016,2821.14,156361,0.0180424786231861
"20","California",2017,2801.65,156361,0.0179178311727349
"21","California",2018,1966.09,156361,0.0125740433995689
"22","California",2019,3500.92,156361,0.0223899821566759
"23","California",2020,1524.39,156361,0.00974917018949738
"24","California",2021,2323.77,156361,0.0148615703404302
"25","Colorado",2016,1003.03,103766,0.00966626833452191
"26","Colorado",2017,881.52,103766,0.00849526819960295
"27","Colorado",2018,689.62,103766,0.00664591484686699
"28","Colorado",2019,771.04,103766,0.00743056492492724
"29","Colorado",2020,518.86,103766,0.00500028911204055
"30","Colorado",2021,801.88,103766,0.0077277721026155
"31","Connecticut",2016,559.75,4862,0.115127519539284
"32","Connecticut",2017,610.53,4862,0.125571781160016
"33","Connecticut",2018,943.96,4862,0.194150555327026
"34","Connecticut",2019,855.07,4862,0.175867955573838
"35","Connecticut",2020,667.14,4862,0.137215137803373
"36","Connecticut",2021,799.79,4862,0.164498148909914
"37","Delaware",2016,247,1982,0.124621594349142
"38","Delaware",2017,242.59,1982,0.122396569122099
"39","Delaware",2018,316.4,1982,0.159636730575177
"40","Delaware",2019,286.6,1982,0.14460141271443
"41","Delaware",2020,276.06,1982,0.139283551967709
"42","Delaware",2021,184.35,1982,0.0930121089808274
"43","Florida",2016,8750.89,54090,0.161783878720651
"44","Florida",2017,9530.59,54090,0.176198742836014
"45","Florida",2018,7844.88,54090,0.145033832501387
"46","Florida",2019,7384.28,54090,0.136518395267147
"47","Florida",2020,7922.32,54090,0.146465520428915
"48","Florida",2021,7403.73,54090,0.13687798114254
"49","Georgia",2016,1803.96,58073,0.031063661253939
"50","Georgia",2017,2471.31,58073,0.0425552322077385
"51","Georgia",2018,3201.78,58073,0.05513371101889
"52","Georgia",2019,2706.03,58073,0.0465970416544694
"53","Georgia",2020,3536.19,58073,0.0608921529798702
"54","Georgia",2021,3531.01,58073,0.0608029549015894
"55","Idaho",2016,696.24,82677,0.0084212054138394
"56","Idaho",2017,508.69,82677,0.00615273897214461
"57","Idaho",2018,482.62,82677,0.00583741548435478
"58","Idaho",2019,458.79,82677,0.00554918538408505
"59","Idaho",2020,448.71,82677,0.00542726514024457
"60","Idaho",2021,427.43,82677,0.00516987795880354
"61","Illinois",2016,5413.21,55748,0.0971014206787687
"62","Illinois",2017,3185.68,55748,0.0571442921719165
"63","Illinois",2018,3928.99,55748,0.0704776852981273
"64","Illinois",2019,3968.97,55748,0.0711948410705317
"65","Illinois",2020,3272.64,55748,0.0587041687594174
"66","Illinois",2021,3029.37,55748,0.0543404247686016
"67","Indiana",2016,4697.1,36097,0.130124387068177
"68","Indiana",2017,5046.72,36097,0.139809956506081
"69","Indiana",2018,1818.91,36097,0.0503895060531346
"70","Indiana",2019,1720.28,36097,0.0476571460232152
"71","Indiana",2020,1489.06,36097,0.0412516275590769
"72","Indiana",2021,1616.69,36097,0.044787378452503
"73","Iowa",2016,2887.96,55941,0.0516251050213618
"74","Iowa",2017,2118.78,55941,0.037875261436156
"75","Iowa",2018,2946.21,55941,0.0526663806510431
"76","Iowa",2019,2479.26,55941,0.0443191934359414
"77","Iowa",2020,1686.59,55941,0.0301494431633328
"78","Iowa",2021,1728.1,55941,0.030891474946819
"79","Kansas",2016,2369.07,81787,0.0289663393937912
"80","Kansas",2017,2280.2,81787,0.0278797363884236
"81","Kansas",2018,2325.42,81787,0.0284326359934953
"82","Kansas",2019,2751.51,81787,0.0336423881545967
"83","Kansas",2020,2129.16,81787,0.0260329881276976
"84","Kansas",2021,1874.57,81787,0.022920146233509
"85","Kentucky",2016,1938.29,39650,0.0488849936948298
"86","Kentucky",2017,1879.62,39650,0.0474052963430013
"87","Kentucky",2018,2394.93,39650,0.0604017654476671
