"","year","state","Type","n()"
"1",2016,"Alabama","Cold",1030
"2",2016,"Alabama","Fog",3831
"3",2016,"Alabama","Hail",4
"4",2016,"Alabama","Precipitation",301
"5",2016,"Alabama","Rain",16921
"6",2016,"Alabama","Snow",197
"7",2016,"Alabama","Storm",8
"8",2016,"Arizona","Cold",330
"9",2016,"Arizona","Fog",1276
"10",2016,"Arizona","Hail",4
"11",2016,"Arizona","Precipitation",82
"12",2016,"Arizona","Rain",7255
"13",2016,"Arizona","Snow",1119
"14",2016,"Arizona","Storm",128
"15",2016,"Arkansas","Cold",952
"16",2016,"Arkansas","Fog",3990
"17",2016,"Arkansas","Hail",5
"18",2016,"Arkansas","Precipitation",703
"19",2016,"Arkansas","Rain",13658
"20",2016,"Arkansas","Snow",269
"21",2016,"Arkansas","Storm",20
"22",2016,"California","Cold",2074
"23",2016,"California","Fog",20286
"24",2016,"California","Hail",9
"25",2016,"California","Precipitation",416
"26",2016,"California","Rain",23887
"27",2016,"California","Snow",1848
"28",2016,"California","Storm",459
"29",2016,"Colorado","Cold",1075
"30",2016,"Colorado","Fog",4983
"31",2016,"Colorado","Hail",27
"32",2016,"Colorado","Precipitation",55
"33",2016,"Colorado","Rain",14800
"34",2016,"Colorado","Snow",9202
"35",2016,"Colorado","Storm",1615
"36",2016,"Connecticut","Cold",73
"37",2016,"Connecticut","Fog",861
"38",2016,"Connecticut","Hail",6
"39",2016,"Connecticut","Precipitation",37
"40",2016,"Connecticut","Rain",3499
"41",2016,"Connecticut","Snow",788
"42",2016,"Connecticut","Storm",10
"43",2016,"Delaware","Cold",11
"44",2016,"Delaware","Fog",245
"45",2016,"Delaware","Hail",1
"46",2016,"Delaware","Precipitation",13
"47",2016,"Delaware","Rain",1790
"48",2016,"Delaware","Snow",178
"49",2016,"Delaware","Storm",7
"50",2016,"Florida","Cold",1879
"51",2016,"Florida","Fog",8153
"52",2016,"Florida","Hail",1
"53",2016,"Florida","Precipitation",998
"54",2016,"Florida","Rain",40451
"55",2016,"Florida","Snow",1
"56",2016,"Florida","Storm",116
"57",2016,"Georgia","Cold",584
"58",2016,"Georgia","Fog",6991
"59",2016,"Georgia","Hail",3
"60",2016,"Georgia","Precipitation",146
"61",2016,"Georgia","Rain",23720
"62",2016,"Georgia","Snow",308
"63",2016,"Georgia","Storm",21
"64",2016,"Idaho","Cold",369
"65",2016,"Idaho","Fog",3493
